AACC,20130521,6.62,6.66,6.62,6.65,133600
AAME,20130521,3.65,3.65,3.39,3.63,32200
AAON,20130521,32.27,32.92,32.25,32.51,41600
AAPL,20130521,438.15,445.48,434.2,439.66,16296300
AAWW,20130521,46.2,46.7,46.04,46.52,165900
AAXJ,20130521,60.98,61.29,60.8,61.18,468700
ABAX,20130521,44.77,44.77,44.02,44.22,289600
ABCB,20130521,16.39,16.5,16.39,16.45,7700
ABCD,20130521,1.17,1.2,1.15,1.2,3700
ABCO,20130521,50.2,51.59,49.96,51.15,289500
ABFS,20130521,17.95,19.21,17.79,18.67,1464300
ABIO,20130521,2.39,2.6,2.35,2.51,56000
ABMD,20130521,23.18,23.18,22.83,22.97,327300
ABTL,20130521,4.18,4.65,4.18,4.55,101500
ACAD,20130521,14.25,14.55,13.5,13.79,3446300
ACAS,20130521,14.44,14.5,14.35,14.41,2145300
ACAT,20130521,46.99,47.78,46.78,47.71,144200
ACCL,20130521,8.7,8.74,8.59,8.71,224100
ACET,20130521,11.9,12.04,11.76,11.79,75200
ACFC,20130521,5.37,5.49,5.23,5.23,13800
ACFN,20130521,7.97,8.41,7.86,8.33,50600
ACGL,20130521,53.46,53.53,52.56,52.74,634300
ACHC,20130521,33.06,33.6,31.83,32.07,768700
ACHN,20130521,7.57,7.83,7.5,7.75,1220800
ACIW,20130521,45.25,45.7,45.14,45.35,339200
ACLS,20130521,1.51,1.58,1.49,1.5,553200
ACNB,20130521,16.8,16.87,16.65,16.87,1900
ACOR,20130521,32.07,32.46,31.74,32.4,384000
ACPW,20130521,4.44,4.55,4.38,4.4,43700
ACRX,20130521,7.12,7.42,6.33,6.4,1920700
ACST,20130521,2.66,2.67,2.6,2.67,13100
ACTG,20130521,24.56,24.69,24.19,24.36,317900
ACTS,20130521,3,3.06,3,3.06,65400
ACUR,20130521,2.43,2.43,2.24,2.3,527800
ACWI,20130521,53.84,54.17,53.71,54.03,1459000
ACWX,20130521,45.12,45.43,44.99,45.31,283600
ACXM,20130521,21.54,21.81,21.51,21.74,265000
ADAT,20130521,1.24,1.24,1.2,1.22,15400
ADBE,20130521,44.21,44.48,43.89,44.02,1828100
ADEP,20130521,3.44,3.5,3.37,3.48,24900
ADES,20130521,33.9,34.64,33.6,34.15,74900
ADI,20130521,46.68,46.88,46.11,46.56,2496900
ADNC,20130521,16.03,16.11,15.78,16.04,125000
ADP,20130521,71.03,71.43,70.81,71.03,1959200
ADRA,20130521,29.43,29.57,29.43,29.57,2900
ADRD,20130521,23.24,23.32,23.24,23.32,10500
ADRE,20130521,39.3,39.31,38.94,39.24,33700
ADRU,20130521,22.52,22.63,22.52,22.63,800
ADSK,20130521,37.05,37.63,36.87,37.48,3278800
ADTN,20130521,22.83,22.95,22.57,22.75,786400
ADUS,20130521,15.65,15.91,15.65,15.66,98600
ADVS,20130521,31.42,31.86,31.18,31.66,150700
AEGN,20130521,23.56,23.79,23.3,23.62,164800
AEGR,20130521,60.2,61.19,59.5,60.02,350600
AEHR,20130521,1.28,1.29,1.27,1.29,300
AEIS,20130521,18.84,19.22,18.79,18.93,395900
AEPI,20130521,84.74,85.22,84.21,84.43,7800
AERL,20130521,4.28,4.7,4.25,4.65,618100
AETI,20130521,6.22,6.22,5.91,6.11,39800
AEY,20130521,2.25,2.25,2.21,2.22,5200
AEZS,20130521,2.09,2.12,2.05,2.08,134400
AFAM,20130521,19.55,19.67,19.5,19.57,14900
AFCE,20130521,33.67,33.88,33.45,33.72,94500
AFFX,20130521,3.74,3.76,3.69,3.73,290900
AFFY,20130521,1.34,1.56,1.31,1.45,7119300
AFH,20130521,7.35,7.35,7.2,7.25,23300
AFOP,20130521,17.03,17.48,17.01,17.4,50200
AFSI,20130521,32.3,32.48,32.1,32.25,268300
AGEN,20130521,4.11,4.16,4,4.01,149300
AGII,20130521,44.36,44.36,43.07,43.58,103200
AGIIL,20130521,25.4,25.59,25.4,25.5,5700
AGNC,20130521,29,29,28.45,28.55,9797000
AGNCP,20130521,26.85,26.85,26.65,26.68,29700
AGYS,20130521,11.74,11.78,11.6,11.66,20200
AHGP,20130521,62.35,65.49,62.11,65.47,82700
AHPI,20130521,2.47,2.58,2.45,2.57,1500
AIMC,20130521,29.17,29.41,28.48,28.64,376700
AINV,20130521,8.75,8.81,8.73,8.76,2302100
AIQ,20130521,12.53,12.7,12.41,12.7,19900
AIRM,20130521,34.44,35.89,34.4,35.61,463600
AIRT,20130521,10,10.25,10,10.09,2100
AIXG,20130521,16.87,17,16.69,16.89,284100
AKAM,20130521,47.85,47.99,47.06,47.28,1957100
AKRX,20130521,14.87,14.97,14.65,14.83,259600
ALCO,20130521,45.51,45.74,45.32,45.32,2900
ALCS,20130521,8.98,9.27,8.98,9.27,1300
ALGN,20130521,37.68,38.51,37.17,38.16,765300
ALGT,20130521,93.81,94.11,92.26,92.75,105500
ALIM,20130521,4.23,4.45,4.22,4.42,70300
ALKS,20130521,30.56,32.34,30.38,31.98,1294300
ALLB,20130521,14,14,14,14,100
ALLT,20130521,13.54,13.54,13,13.12,425900
ALNY,20130521,27.56,28.23,27.38,28.03,211500
ALOG,20130521,82.57,82.79,81.05,81.32,28300
ALOT,20130521,10.6,10.65,10.55,10.6,3700
ALSK,20130521,1.89,1.91,1.87,1.9,175300
ALTI,20130521,2.43,2.57,2.33,2.34,19300
ALTR,20130521,33.89,34.02,33.7,33.91,1993200
ALVR,20130521,2.69,2.75,2.6,2.71,19000
ALXA,20130521,4.41,4.75,4.39,4.68,719600
ALXN,20130521,100.52,102.87,100.03,102.67,1020200
AMAG,20130521,24.91,25.2,24.65,25.08,139600
AMAP,20130521,12.33,12.35,11.91,12.11,314200
AMAT,20130521,14.83,14.91,14.66,14.67,13246700
AMBA,20130521,17.5,17.9,16.32,16.9,2067300
AMBC,20130521,27.02,27.2,26.21,26.77,537400
AMBCW,20130521,14.25,15.24,14.25,14.7,47400
AMBI,20130521,6.67,7.2,6.66,6.66,35500
AMBT,20130521,1.9,1.98,1.9,1.96,12200
AMCC,20130521,7.89,7.95,7.71,7.78,124300
AMCF,20130521,0.6,0.64,0.6,0.6,5000
AMCN,20130521,1.78,1.92,1.77,1.92,28700
AMCX,20130521,66.08,67.85,66.01,67.72,805500
AMED,20130521,11.04,11.12,10.95,11.1,233700
AMGN,20130521,102.45,104.68,102.45,104.24,3490300
